,name,country,people,industry,web,logo,logo_url,logo_thumb,description,logo_url_local,logo_thumb_local,continent
<Samsung>,Samsung,South Korea,489000,conglomerate,,,,,"Samsung (meaning ""three stars"" in Sino-Korean) is a South Korean multinational conglomerate headquartered in Samsung Town, Seoul. It comprises numerous affiliated businesses, most of them united under the Samsung brand, and is the largest South Korean chaebol (business conglomerate).
Samsung was founded by Lee Byung-chul in 1938 as a trading company. Over the next three decades, the group diversified into areas including food processing, textiles, insurance, securities, and retail. Samsung entered the electronics industry in the late 1960s and the construction and shipbuilding industries in the mid-1970s; these areas would drive its subsequent growth. Following Lee's death in 1987, Samsung was separated into four business groups – Samsung Group, Shinsegae Group, CJ Group and Hansol Group. Since 1990, Samsung has increasingly globalised its activities and electronics; in particular, its mobile phones and semiconductors have become its most important source of income. As of 2017, Samsung has the 6th highest global brand value.Notable Samsung industrial affiliates include Samsung Electronics (the world's largest information technology company, consumer electronics maker and chipmaker measured by 2017 revenues), Samsung Heavy Industries (the world's 2nd largest shipbuilder measured by 2010 revenues), and Samsung Engineering and Samsung C&T (respectively the world's 13th and 36th largest construction companies). Other notable subsidiaries include Samsung Life Insurance (the world's 14th largest life insurance company), Samsung Everland (operator of Everland Resort, the oldest theme park in South Korea) and Cheil Worldwide (the world's 15th largest advertising agency, as measured by 2012 revenues).Samsung has a powerful influence on South Korea's economic development, politics, media and culture and has been a major driving force behind the ""Miracle on the Han River"". Its affiliate companies produce around a fifth of South Korea's total exports. Samsung's revenue was equal to 17% of South Korea's $1,082 billion GDP.",,,Asia
<East_Dawning>,East Dawning,China,487000,restaurant,http://www.dfjb.com.cn,,,,"East Dawning (Chinese: 东方既白, Dongfang Jibai) is Yum China's fusion of the KFC business model with Chinese cuisine. Chinese food is served exclusively, but the chain focuses on the elements of Chinese cuisine that are more quickly and easily prepared. This excludes some dishes, such as boiled dumplings (jiaozi), but includes steamed pastries such as steamed buns, including the popular xiaolongbao. Soft drinks are eschewed in favor of traditional and modern Chinese drinks such as teas (including milk tea), juices, and soy milk. However, unlike most Chinese fast food, East Dawning uses consistent recipes and preparation methods between restaurants. The restaurants are designed to resemble Chinese homes; for instance, the dining tables are similar to offering tables found in many homes.A test cafeteria-style restaurant was opened in Shanghai in 2004. After the failure of the test restaurant, Yum! Brands chose the KFC business model (KFC is the most successful Western chain in China) and found greater success. As of the first quarter of 2013, there are 30 East Dawning restaurants in China. The restaurants are located in Shanghai, Beijing, Guangzhou and Suzhou. In 2016, Yum! Brands spun off their Chinese operations into Yum China, which included East Dawning.",,,Asia
<Agricultural_Bank_of_China>,Agricultural Bank of China,China,444238,banking,http://www.abchina.com,,,,"Agricultural Bank of China (ABC), also known as AgBank, is one of the ""Big Four"" banks in the People's Republic of China. It was founded in 1951, and has its headquarters in Dongcheng District, Beijing. It has branches throughout mainland China, Hong Kong, London, Tokyo, New York, Frankfurt, Sydney, Seoul, and Singapore.
ABC has 320 million retail customers, 2.7 million corporate clients, and nearly 24,000 branches. It is China's third largest lender by assets. ABC went public in mid-2010, fetching the world's biggest ever initial public offering (IPO) at the time, since overtaken by the Saudi Arabian state-run petroleum enterprise, Saudi Aramco. In 2011, it ranked eighth among the Top 1000 World Banks, by 2015, it ranked third in Forbes' 13th annual Global 2000 list and in 2017 it ranked fifth.",,,Asia
<United_Parcel_Service>,United Parcel Service,United States,434000,courier,http://www.ups.com/,United Parcel Service logo 2014.svg,https://upload.wikimedia.org/wikipedia/commons/6/6b/United_Parcel_Service_logo_2014.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/United_Parcel_Service_logo_2014.svg/150px-United_Parcel_Service_logo_2014.svg.png,"United Parcel Service (shortened in initials as UPS; stylized in lowercase) is an American multinational package delivery and supply chain management company.Along with the central package delivery operation, the UPS brand name (in a fashion similar to that of competitor FedEx) is used to denote many of its divisions and subsidiaries, including its cargo airline (UPS Airlines), freight-based trucking operation (UPS Freight, formerly Overnite Transportation), and its delivery drone airline (UPS Flight Forward). The global logistics company is headquartered in the U.S. city of Sandy Springs, Georgia, which is a part of the Greater Atlanta metropolitan area.",00003.svg,00004.png,North America
<Kroger>,Kroger,United States,431000,retail,http://www.kroger.com/,,,,"The Kroger Company, or simply Kroger, is an American retail company founded by Bernard Kroger in 1883 in Cincinnati, OH. It is the United States' largest supermarket by revenue ($121.16 billion for fiscal year 2019), and the second-largest general retailer (behind Walmart). Kroger is also the fifth-largest retailer in the world and the fourth largest American-owned private employer in the United States. Kroger is ranked #20 on the Fortune 500 rankings of the largest United States corporations by total revenue.As of 23 May 2020, Kroger operates, either directly or through its subsidiaries, 2,750 supermarkets and multi-department stores. Kroger's headquarters are in downtown Cincinnati. It maintains markets in 35 states and the District of Columbia, with store formats that include hypermarkets, supermarkets, superstores, department stores, and 170 jewelry stores (782 convenience stores were sold to EG Group in 2018). Kroger-branded grocery stores are located in the Midwestern and Southern United States.  Kroger operates 35 food processing or manufacturing facilities, 1,569 supermarket fuel centers, 2,257 pharmacies, and 222 The Little Clinic in-store medical clinics.Kroger's employees are mostly unionized collective bargaining agreements, and many are represented by the United Food and Commercial Workers (UFCW).",,,North America
<Deutsche_Post>,Deutsche Post,Germany,424351,postal services,http://www.dp-dhl.com,,,,"The Deutsche Post AG, operating under the trade name Deutsche Post DHL Group, is a German multinational package delivery and supply chain management company headquartered in Bonn, Germany. It is the world's largest courier company. The postal division delivers 61 million letters each day in Germany, making it Europe's largest such company. The Express division (DHL) claims to be present in over 220 countries and territories.The Deutsche Post is the successor to the German mail authority Deutsche Bundespost, which was privatized in 1995 and became a fully independent company in 2000. DHL Express is a wholly owned subsidiary.
Since its privatization, Deutsche Post has significantly expanded its business area through acquisitions. 
In late 2014, the group acquired StreetScooter GmbH, a small manufacturer of electric vehicles. Two years later, the group acquired UK Mail, a business-focused postal service in the UK for US$315.5 million (£243 million). The former company became a division of the Deutsche Post European parcel network.The Deutsche Post DHL Group 2016 earnings before interest and taxes (EBIT) was €3.491 billion (up 44.8 percent over 2015), with a net profit of €2.64 billion on revenue of €57.334 billion. Return on equity, before taxes, was 27.7 percent. The group's long term credit rating, in November 2016, was BBB+ with a Stable outlook per Fitch's.Deutsche Post AG is listed on the Börse Frankfurt (Frankfurt Stock Exchange) as DPW and is in the Euro Stoxx 50 stock market index. In 2016, 20.5% of the group's shares were held by the state-owned KfW bank; 79.5% were freely floating: 65.6% held by institutional and 10.8% by private investors.",,,Europe
<Sodexo>,Sodexo,France,413000,conglomerate,,,,,"Sodexo (formerly Sodexho Alliance) is a French food services and facilities management company headquartered in the Paris suburb of Issy-les-Moulineaux. It is one of the world's largest multinational corporations, with 428,237 employees as of 2019 and a presence in 80 countries. 
For fiscal year 2020 (ending August 2019) revenues reached €22.0 billion, with a market capitalization of €15.8 billion. Its revenues by region are 47% from North America, 38% from Europe, and 15% from other areas.[1]Sodexo serves many sectors, including private corporations, government agencies, schools from preschool through university (including seminaries and trade schools), hospitals and clinics, assisted-living facilities, military bases, and prisons.  As of 2016 subsidiary Sodexo Justice Services operated support services in 122 prisons in eight countries, including 42 in the Netherlands, 34 in France, and others in Belgium, Italy, Spain, and Chile, as well as directly running 5 prisons in the UK.",,,Europe
<Gazprom>,Gazprom,Russia,404400,oil and gas,http://www.gazprom.com,,,,"PJSC Gazprom (Russian: Газпром, IPA: [ɡɐsˈprom]) is a partially state-owned multinational energy corporation headquartered in the Lakhta Center in Saint Petersburg, Russia. As of 2019, with sales over USD$120 billion, it sits as the largest publicly-listed natural gas company in the world and the largest company in Russia by revenue. In the 2019 Forbes Global 2000, Gazprom was ranked as the 40th largest company in the world. Gazprom name is a portmanteau of the Russian words Gazovaya Promyshlennost (Russian: га́зовая промы́шленность - gas industry).
Gazprom is vertically integrated and is active in every area of the gas industry, including exploration and production, refining, transport, distribution and marketing, and power generation. In 2018, Gazprom produced twelve percent of the global output of natural gas, producing 497.6 billion cubic meters of natural and associated gas and 15.9 million tonnes of gas condensate. Gazprom then exports the gas through pipelines that the company builds and owns across Russia and abroad such as Nord Stream and TurkStream. In the same year, Gazprom has proven reserves of 35.1 trillion cubic meters of gas and 1.6 billion tons of gas condensate. Gazprom is also a large oil producer through its subsidiary Gazprom Neft, producing about 41 million tons of oil with reserves amounting to 2 billion tons. The company also has subsidiaries in industrial sectors including finance, media and aviation, and majority stakes in other companies.
Gazprom was created in 1989, when the Soviet Ministry of Gas Industry was converted to a corporation, becoming the first state-run corporate enterprise in the Soviet Union. After the Soviet Union's dissolution, Gazprom was privatized, retaining its Russia-based assets. At that time, Gazprom evaded taxes and state regulation and engaged in asset stripping. The company later returned to government control in the early 2000s, and since then, the company is involved in the Russian Government's diplomatic efforts, setting of gas prices, and access to pipelines.The company is mostly owned by the Russian government, via the Federal Agency for State Property Management and Rosneftegaz, while remaining shares are traded publicly. Gazprom has a listing in the Moscow Exchange and has a market capitalization of US$80.56 billion as of September 2019.",,,Asia
<Vista_Group_International>,Vista Group International,New Zealand,400000,software design and development,http://www.vistagroup.co.nz,Vista_Group_Logo_Portrait_300dpi.png,https://upload.wikimedia.org/wikipedia/commons/f/f4/Vista_Group_Logo_Portrait_300dpi.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Vista_Group_Logo_Portrait_300dpi.png/150px-Vista_Group_Logo_Portrait_300dpi.png,"Vista Group International Limited (Vista Group) provides film industry technology for studios, distributors, exhibitors, and moviegoers globally.
Vista Group is made up of eight businesses with more than 630 staff across offices in New Zealand (Auckland HQ), Sydney, Los Angeles, London, Shanghai, Beijing, Mexico City, South Africa, the Netherlands and Romania. Its Vista Cinema software is installed in cinemas in 116 countries. Vista Group is listed on both the New Zealand Stock Exchange (NZX) and Australian Securities Exchange (ASX).",00002.png,00005.png,Oceania
<FedEx>,FedEx,United States,400000,courier,,FedEx Corporation logo.svg,https://upload.wikimedia.org/wikipedia/commons/9/93/FedEx_Corporation_logo.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/FedEx_Corporation_logo.svg/150px-FedEx_Corporation_logo.svg.png,"FedEx Corporation is an American multinational delivery services company headquartered in Memphis, Tennessee. The name ""FedEx"" is a syllabic abbreviation of the name of the company's original air division, Federal Express (now FedEx Express), which was used from 1973 until 2000.  The company is known for its overnight shipping service and pioneering a system that could track packages and provide real-time updates on package location, a feature that has now been implemented by most other carrier services. FedEx is also one of the top contractors of the US government.",00004.svg,00006.png,North America
<Samsung_Electronics>,Samsung Electronics,South Korea,392305,consumer electronics,,Samsung wordmark.svg,https://upload.wikimedia.org/wikipedia/commons/b/b4/Samsung_wordmark.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Samsung_wordmark.svg/150px-Samsung_wordmark.svg.png,"Samsung Electronics Co., Ltd. (Korean: 삼성전자; Hanja: 三星電子; RR: Samsung Jeonja; lit. ""tristar electronics"") is a South Korean multinational electronics company headquartered in the Yeongtong District of Suwon. It is the pinnacle of the Samsung chaebol, accounting for 70% of the group's revenue in 2012. Samsung Electronics has played a key role in the group's corporate governance due to circular ownership. Samsung Electronics has assembly plants and sales networks in 74 countries and employs around 290,000 people. It is the world's largest manufacturer of consumer electronics by revenue. As of 2019, Samsung Electronics is the world's second largest technology company by revenue, and its market capitalization stood at US$301.65 billion, the 18th largest in the world.Samsung is a major manufacturer of electronic components such as lithium-ion batteries, semiconductors, image sensors, camera modules and displays for clients such as Apple, Sony, HTC and Nokia. It is the world's largest manufacturer of mobile phones and smartphones, started with the original Samsung Solstice and later, the popularity of its Samsung Galaxy line of devices. The company is also a major vendor of tablet computers, particularly its Android-powered Samsung Galaxy Tab collection, and regarded for developing the phablet market with the Samsung Galaxy Note family of devices. It has also developed 5G capable smartphones including the Galaxy S10 and Galaxy Note 10 and foldable phones including the Galaxy Fold. Samsung has been the world's largest television manufacturer since 2006, and the world's largest manufacturer of mobile phones since 2011. It is also the world's largest memory chip manufacturer and, from 2017 to 2018, had been the largest semiconductor company in the world, briefly dethroning Intel, the decades-long champion.In 2012, Kwon Oh-hyun was appointed the company's CEO, but announced in October 2017 that he would resign in March 2018, citing an ""unprecedented crisis"". As of March 2018, the company maintains a three-CEO layout, with Ki Nam Kim, Hyun Suk Kim, and Dong Jin Koh; it has also had HC Hong as a separate CEO for Southeast Asia since 2015.",00005.svg,00007.png,Asia
<Robert_Bosch_GmbH>,Robert Bosch GmbH,Germany,390000,conglomerate,,Logo since 2002,,,"Robert Bosch GmbH (; German: [bɔʃ] (listen)), or Bosch, is a German multinational engineering and technology company headquartered in Gerlingen, near Stuttgart, Germany. The company was founded by Robert Bosch in Stuttgart in 1886. Bosch is 92% owned by Robert Bosch Stiftung, a charitable institution.Bosch's core operating areas are spread across four business sectors: mobility (hardware and software), consumer goods (including household appliances and power tools), industrial technology (including drive and control) and energy and building technology.",,,Europe
<Tata_Consultancy_Services>,Tata Consultancy Services,India,387223,it services,http://www.tcs.com/,,,,"Tata Consultancy Services Limited (TCS) is an Indian multinational information technology (IT) services and consulting company headquartered in Mumbai, Maharashtra, India. It is a subsidiary of the Tata Group and operates in 149 locations across 46 countries.TCS is the second largest Indian company by market capitalisation. Tata consultancy services is now placed among the most valuable IT services brands worldwide. In 2015, TCS was ranked 64th overall in the Forbes World's Most Innovative Companies ranking, making it both the highest-ranked IT services company and the top Indian company. It is the world's largest IT services provider. As of 2018, it is ranked eleventh on the Fortune India 500 list. In April 2018, TCS became the first Indian IT company to reach $100 billion in market capitalisation, and second Indian company ever (after Reliance Industries achieved it in 2007) after its market capitalisation stood at ₹6,79,332.81 crore ($102.6 billion) on the Bombay Stock Exchange.In 2016–2017, Parent company Tata Sons owned 72.05% of TCS; and more than 70% of Tata Sons' dividends were generated by TCS. In March 2018, Tata Sons decided to sell stocks of TCS worth $1.25 billion in a bulk deal.",,,Asia
<IBM>,IBM,United States,380300,,http://www.ibm.com,,,,"International Business Machines Corporation (IBM) is an American multinational technology company headquartered in Armonk, New York. It was founded in 1911 in Endicott, New York, as the Computing-Tabulating-Recording Company (CTR) and was renamed ""International Business Machines"" in 1924. IBM is incorporated in New York and has operations in over 170 countries.IBM produces and sells computer hardware, middleware and software, and provides hosting and consulting services in areas ranging from mainframe computers to nanotechnology. It is also a major research organization, as of 2020 holding the record for most U.S. patents generated by a business for 27 consecutive years. Inventions by IBM include the automated teller machine (ATM), the floppy disk, the hard disk drive, the magnetic stripe card, the relational database, the SQL programming language, the UPC barcode, and dynamic random-access memory (DRAM). The IBM mainframe, exemplified by the System/360, was the dominant computing platform during the 1960s and 1970s.
IBM has continually shifted business operations by focusing on higher-value, more profitable markets. This includes spinning off its printer and keyboard manufacturing division, the IBM Information Products Corporation, to Lexmark in 1991; selling its personal computer (ThinkPad/ThinkCentre) and x86-based server businesses to Lenovo in 2005 and 2014, respectively; and acquiring companies such as PwC Consulting (2002), SPSS (2009), The Weather Company (2016), and Red Hat (2019). In 2015, IBM announced that it would go ""fabless"", continuing to design semiconductors, but offloading manufacturing to GlobalFoundries.
Nicknamed Big Blue, IBM is one of 30 companies included in the Dow Jones Industrial Average and one of the world's largest employers, with over 352,600 employees as of 2018. At least 70% of IBM employees, known as ""IBMers"", are based outside the United States, with the largest number in India. IBM employees have been awarded five Nobel Prizes, six Turing Awards, ten National Medals of Technology (USA) and five National Medals of Science (USA).",,,North America
<Berkshire_Hathaway>,Berkshire Hathaway,United States,367700,conglomerate,http://berkshirehathaway.com,,,,"Berkshire Hathaway is an American multinational conglomerate holding company headquartered in Omaha, Nebraska, United States. The company wholly owns GEICO, Duracell, Dairy Queen, BNSF, Lubrizol, Fruit of the Loom, Helzberg Diamonds, Long & Foster, FlightSafety International, Pampered Chef, Forest River and NetJets, and also owns 38.6% of Pilot Flying J; and significant minority holdings in public companies Kraft Heinz Company (26.7%), American Express (17.6%), Wells Fargo (9.9%), The Coca-Cola Company (9.32%), Bank of America (11.5%), Apple (5.4%) and Barrick Gold. Beginning in 2016, the company acquired large holdings in the major US airline carriers, namely United Airlines, Delta Air Lines, Southwest Airlines and American Airlines but sold all of its airline holdings early in 2020.  Berkshire Hathaway has averaged an annual growth in book value of 19.0% to its shareholders since 1965 (compared to 9.7% from the S&P 500 with dividends included for the same period), while employing large amounts of capital, and minimal debt.The company is known for its control and leadership by Warren Buffett, who serves as chairman and chief executive, and by Charlie Munger, one of the company's vice-chairmen. In the early part of his career at Berkshire, Buffett focused on long-term investments in publicly traded companies, but more recently he has more frequently bought whole companies. Berkshire now owns a diverse range of businesses including confectionery, retail, railroads, home furnishings, encyclopedias, manufacturers of vacuum cleaners, jewelry sales, manufacture and distribution of uniforms, and several regional electric and gas utilities.
According to the Forbes Global 2000 list and formula, Berkshire Hathaway is the eighth largest public company in the world, the tenth largest conglomerate by revenue and the largest financial services company by revenue in the world.As of August 2020, Berkshire's Class B stock is the seventh-largest component of the S&P 500 Index (which is based on free-float market capitalization) and the company is famous for having the most expensive share price in history with Class A shares costing around $300,000 each. This is because there has never been a stock split in its Class A shares and Buffett stated in a 1984 letter to shareholders that he does not intend to split the stock.",,,North America
<Sinopec>,Sinopec,China,358571,oil and gas,http://english.sinopec.com/index.shtml,,,,"China Petroleum & Chemical Corporation (中国石油化工股份有限公司), or Sinopec (simplified Chinese: 中国石化; traditional Chinese: 中國石化; pinyin: Zhōngguó Shíhuà), is a Chinese oil and gas enterprise based in Beijing. It is listed in Hong Kong and also trades in Shanghai and New York.
Sinopec Limited's parent, Sinopec Group, is the world's largest oil refining, gas and petrochemical conglomerate, headquartered in Chaoyang District, Beijing. Sinopec's business includes oil and gas exploration, refining, and marketing; production and sales of petrochemicals, chemical fibers, chemical fertilizers, and other chemical products; storage and pipeline transportation of crude oil and natural gas; import, export and import/export agency business of crude oil, natural gas, refined oil products, petrochemicals, and other chemicals. It also produces ethanol and several biofuels such as biodiesel and green jet fuel, from waste vegetable oil.",,,Asia
<Mitsubishi>,Mitsubishi,Japan,350000,conglomerate,http://www.mitsubishi.com/,,,,"The Mitsubishi Group (三菱グループ, Mitsubishi Gurūpu, also known as the Mitsubishi Group of Companies or Mitsubishi Companies, and informally as the Mitsubishi Keiretsu) is a group of autonomous Japanese multinational companies in a variety of industries.
Founded by Iwasaki Yatarō in 1870, the Mitsubishi Group historically descended from the Mitsubishi zaibatsu, a unified company which existed from 1870 to 1947. The company was disbanded during the occupation of Japan following World War II. The former constituents of the company continue to share the Mitsubishi brand and trademark. Although the group companies participate in limited business cooperation, most famously through monthly ""Friday Conference"" executive meetings, they are formally independent and are not under common control. The four main companies in the group are MUFG Bank (the largest bank in Japan), Mitsubishi Corporation (a general trading company), Mitsubishi Electric and Mitsubishi Heavy Industries (both being diversified manufacturing companies).",,,Asia
