,model,date,picture,manufacturer,class,length,height,width,picture_url,picture_thumb,description,picture_url_local,picture_thumb_local
<Alfa_Romeo_4C>,Alfa Romeo 4C,2013,File:Festival automobile international 2014 - Alfa Romeo 4C - 009.jpg,Alfa Romeo,Sports car (S),3989 mm,1183 mm,2090 mm,https://upload.wikimedia.org/wikipedia/commons/3/34/Festival_automobile_international_2014_-_Alfa_Romeo_4C_-_009.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Festival_automobile_international_2014_-_Alfa_Romeo_4C_-_009.jpg/250px-Festival_automobile_international_2014_-_Alfa_Romeo_4C_-_009.jpg,"The Alfa Romeo 4C (Type 960) is a mid-engined, lightweight, rear-wheel drive sports car. Available in coupé and spider body style, it uses a carbon fiber tub, front and rear crash box, and hybrid rear subframe mainly out of aluminum to keep weight at 895 kilograms (1,973 lb) and 1,050 kilograms (2,315 lb) in the United States.  The 4C is Alfa Romeo's first mass-produced vehicle of the 21st century to re-enter the North American automotive market.",00011.jpg,00011.jpg
<Alfa_Romeo_8C_Competizione>,Alfa Romeo 8C Competizione,2007,AR8C-Competizione.jpg,Alfa Romeo,Sports car,4381 mm,1341 mm,1894 mm,https://upload.wikimedia.org/wikipedia/commons/d/dc/AR8C-Competizione.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/AR8C-Competizione.jpg/250px-AR8C-Competizione.jpg,"The Alfa Romeo 8C Competizione is a sports car produced by Italian automotive manufacturer Alfa Romeo between 2007 and 2010. It was first presented as a concept car at the 2003 Frankfurt Motor Show and later offered for sale for the 2007 model year. The name refers to the eight-cylinder (cilindro in Italian) engine (8C) and Alfa Romeo's racing pedigree (Competizione, Italian for 'competition'). The company received over 1,400 orders for the 8C after the official announcement that the car would enter production. However, only 500 customers ended up with the 8C Competizione and another 500 with the 8C Spider, bringing the production total to 1,000 cars.",00012.jpg,00012.jpg
<Alfa_Romeo_Disco_Volante_by_Touring>,Alfa Romeo Disco Volante by Touring,2013,File:Geneva MotorShow 2013 - Touring Superleggera Disco Volante.jpg,Carrozzeria Touring,Experimental,4610 mm,1309 mm,2032 mm,https://upload.wikimedia.org/wikipedia/commons/f/fc/Geneva_MotorShow_2013_-_Touring_Superleggera_Disco_Volante.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Geneva_MotorShow_2013_-_Touring_Superleggera_Disco_Volante.jpg/250px-Geneva_MotorShow_2013_-_Touring_Superleggera_Disco_Volante.jpg,"The Alfa Romeo Disco Volante by Touring is a two-seater coupé, built by Carrozzeria Touring in 2013. It is based on the Alfa Romeo 8C Competizione.
The model name is derived from the Disco Volante of the 1950s. Equipped with a front-central engine of 4.7 L of displacement, it delivers 450 PS (331 kW; 444 hp) and 480 N⋅m (354 lbf⋅ft) of torque. The Disco Volante is rear wheel drive with sequential six-speed gearbox. The transmission is a transaxle with limited-slip differential, while the suspension is independent quadrilateral and made of aluminium.
The car is able to accelerate from 0 to 100 km/h (62 mph) in 4.2 seconds and can reach a top speed of 291 km/h (181 mph).",00013.jpg,00013.jpg
<Alfa_Romeo_GT>,Alfa Romeo GT,2003,Alfa GT 20090801 front.JPG,Alfa Romeo,Sports car,4489 mm,1362 mm,1763 mm,https://upload.wikimedia.org/wikipedia/commons/4/47/Alfa_GT_20090801_front.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Alfa_GT_20090801_front.JPG/250px-Alfa_GT_20090801_front.JPG,"The Alfa Romeo GT (Type 937) is a coupe automobile that was produced by the Italian automaker Alfa Romeo between 2003 and 2010. The GT was introduced in March 2003 at the Geneva Motor Show. Production commenced on 28 November 2003, the GT was built at the Pomigliano plant, alongside the 147 and 159. A total of 80,832 units were produced.",00014.jpg,00014.jpg
<Alfa_Romeo_Giulia_(952)>,Alfa Romeo Giulia (952),2016,FoS20162016 0625 151326AA (27826088871).jpg,Alfa Romeo,Compact executive car (D),4639 mm,1426 mm,1873 mm,https://upload.wikimedia.org/wikipedia/commons/0/02/FoS20162016_0625_151326AA_%2827826088871%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/FoS20162016_0625_151326AA_%2827826088871%29.jpg/250px-FoS20162016_0625_151326AA_%2827826088871%29.jpg,"The Alfa Romeo Giulia (Type 952) is a compact executive car produced by the Italian automobile manufacturer Alfa Romeo. It was unveiled in June 2015, with market launch scheduled for February 2016, and it is the first saloon offered by Alfa Romeo after the production of the 159 ended in 2011. The Giulia is also the first mass-market Alfa Romeo vehicle in over two decades to use a longitudinal rear-wheel drive platform, since the 75 which was discontinued in 1992. The Giulia was second in 2017 European Car of the Year voting and was named Motor Trend Car of the Year for 2018.",00015.jpg,00015.jpg
<Alfa_Romeo_Giulietta_(940)>,Alfa Romeo Giulietta (940),2010,2013 Alfa Romeo Giulietta (940 MY13) Distinctive hatchback (2015-07-09).jpg,Alfa Romeo,Compact car / Small family car (C),4351 mm,1465 mm,1798 mm,https://upload.wikimedia.org/wikipedia/commons/b/ba/2013_Alfa_Romeo_Giulietta_%28940_MY13%29_Distinctive_hatchback_%282015-07-09%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/2013_Alfa_Romeo_Giulietta_%28940_MY13%29_Distinctive_hatchback_%282015-07-09%29.jpg/250px-2013_Alfa_Romeo_Giulietta_%28940_MY13%29_Distinctive_hatchback_%282015-07-09%29.jpg,"The Alfa Romeo Giulietta (Type 940) is a small family car (C-segment) manufactured and marketed by Alfa Romeo as a 5-door hatchback.  Production started near the end of 2009 and the model was introduced at the March 2010 Geneva Motor Show. In a viability plan forwarded to the US Government in February 2009, Chrysler (a partner of Alfa Romeo parent company Fiat) reported that the 147 replacement would come to market as the Milano and that it could be built in the USA. However, as of early 2010 Fiat was instead planning to concentrate on bringing larger models to the US, such as the Giulia. The Giulietta placed second in the 2011 European Car of the Year awards. Between 2010 and 2019, production reached over 400,000.",00016.jpg,00016.jpg
<Alfa_Romeo_Gloria>,Alfa Romeo Gloria,2013,AlfaRomeoGloria-Geneva2013.jpg,Alfa Romeo,Compact executive car (D),185 in,50 in,75 in,https://upload.wikimedia.org/wikipedia/commons/f/f9/AlfaRomeoGloria-Geneva2013.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/AlfaRomeoGloria-Geneva2013.jpg/250px-AlfaRomeoGloria-Geneva2013.jpg,"The Alfa Romeo Gloria is a concept compact executive car made by the Italian car manufacturer Alfa Romeo. It was first shown to the public at the Geneva Motor Show in March 2013.  Unusually, the concept was designed by 20 students of transportation design at the European Design Institute of Turin.",00017.jpg,00017.jpg
<Alfa_Romeo_MiTo>,Alfa Romeo MiTo,2008,Alfa Romeo MiTo 1.3 JTDm.JPG,Alfa Romeo,Supermini (B),4063 mm,1446 mm,1721 mm,https://upload.wikimedia.org/wikipedia/commons/2/23/Alfa_Romeo_MiTo_1.3_JTDm.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Alfa_Romeo_MiTo_1.3_JTDm.JPG/250px-Alfa_Romeo_MiTo_1.3_JTDm.JPG,"The Alfa Romeo MiTo (Type 955) is a front-wheel drive, three-door supermini designed by Centro Stile Alfa Romeo and presented in 2008 at Castello Sforzesco in Milan with an international introduction at the British Motor Show in 2008. The MiTo was marketed across a single generation from 2008 to 2018, sharing the Fiat Small platform with the  Fiat Grande Punto. Production reached 265,000 at FCA's Mirafiori plant.
The Mito nameplate is a portmanteau of Milano (Milan), where it was designed, and Torino (Turin), where it was manufactured.",00018.jpg,00018.jpg
<Alfa_Romeo_Stelvio>,Alfa Romeo Stelvio,2016,File:Alfa Romeo Stelvio at 2016 LA Auto Show.jpg,Alfa Romeo,Compact luxury crossover SUV,4687 mm,1648 mm,1903 mm,https://upload.wikimedia.org/wikipedia/commons/d/d4/Alfa_Romeo_Stelvio_at_2016_LA_Auto_Show.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Alfa_Romeo_Stelvio_at_2016_LA_Auto_Show.jpg/250px-Alfa_Romeo_Stelvio_at_2016_LA_Auto_Show.jpg,"The Alfa Romeo Stelvio (Tipo 949) is a compact luxury crossover SUV manufactured and marketed by the Alfa Romeo subdivision of FCA, first revealed at the 2016 Los Angeles Auto Show, and entering production at the Cassino Plant at the end of 2016. It is currently Alfa Romeo's best-selling model, with roughly 43,000 sold in 2018.
The Stelvio uses FCA's Giorgio platform, shared with the mid-size Giulia sedan. The name Stelvio derives from the Stelvio Pass, Italy's highest mountain pass, noted for its 48 circuitous switchbacks.",00019.jpg,00019.jpg
<Alpine_A110_(2017)>,Alpine A110 (2017),2017,2018 Alpine A110.jpg,Alpine,Sports car (S),4178 mm,1252 mm,1798 mm,https://upload.wikimedia.org/wikipedia/commons/c/ca/2018_Alpine_A110.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/2018_Alpine_A110.jpg/250px-2018_Alpine_A110.jpg,"The Alpine A110 is a rear mid-engine, rear-wheel-drive sports car introduced by French car manufacturer Alpine at the 87th Geneva International Motor Show in March 2017.Deliveries began in late 2017 for Continental European markets and in 2018 for the UK, Japan and Australia. Both in name and design, the new A110 harkens back to the original Alpine A110 produced from 1961 to 1977.",00020.jpg,00020.jpg
<Ascari_A10>,Ascari A10,2007,Ascari A10.jpg,Ascari Cars,Sports car,4300 mm,1138 mm,1852 mm,https://upload.wikimedia.org/wikipedia/commons/3/3b/Ascari_A10.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Ascari_A10.jpg/250px-Ascari_A10.jpg,"The Ascari A10 is a prototype automobile produced by the British company Ascari Cars that was conceived by Dutch millionaire Klaas Zwart. It is a road-going evolution of the KZ1-R GT race car that participated in the Spanish GT Championship, with both cars penned by Paul Brown, former designer for the Zakspeed F1 team. It was intended to be the third road car produced by the company, after the Ecosse and the KZ1, with the name A10 intended to commemorate the 10th anniversary of the company, but it did not reach production despite a planned fifty cars.",00021.jpg,00021.jpg
<Ascari_KZ1>,Ascari KZ1,2003,Ascari KZ1 II.jpg,Ascari,Sports car,4300 mm,1138 mm,1852 mm,https://upload.wikimedia.org/wikipedia/commons/e/ec/Ascari_KZ1_II.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Ascari_KZ1_II.jpg/250px-Ascari_KZ1_II.jpg,"The Ascari KZ1 is a sports car made by Ascari Cars. The car is named from the initials of Ascari's owner Klaas Zwart, a wealthy Dutch businessman.
The KZ1 made its worldwide debut at the 2005 Autosport International with a price tag of £235,000. Each car required 340 hours of handcrafting at Ascari's 45,000 square-foot manufacturing facility in Banbury, England by a team of 30 highly skilled craftsmen. Owners also received the opportunity to drive the car at the Ascari-managed Race Resort Ascari in Spain. Production was limited to 50 units.",00022.jpg,00022.jpg
<Aston_Martin_DB11>,Aston Martin DB11,2016,FoS20162016 0623 091222AA (27584854040).jpg,Aston Martin,Grand tourer (S),4739 mm,1279 mm,2060 mm,https://upload.wikimedia.org/wikipedia/commons/1/14/FoS20162016_0623_091222AA_%2827584854040%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/FoS20162016_0623_091222AA_%2827584854040%29.jpg/250px-FoS20162016_0623_091222AA_%2827584854040%29.jpg,The Aston Martin DB11 is a grand tourer produced by British luxury car manufacturer Aston Martin since 2016. It debuted at the Geneva Motor Show in March 2016 as a replacement to the DB9. It is the first model launched in Aston Martin's 'second century' plan and the first car launched since the company's tie-up with Daimler AG.,00023.jpg,00023.jpg
<Aston_Martin_DB9>,Aston Martin DB9,2004,Aston Martin DB9 - Flickr - Alexandre Prévot (16) (cropped).jpg,Aston Martin,Grand tourer,185.4 in,50.0 in,74.0 in,https://upload.wikimedia.org/wikipedia/commons/9/97/Aston_Martin_DB9_-_Flickr_-_Alexandre_Pr%C3%A9vot_%2816%29_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Aston_Martin_DB9_-_Flickr_-_Alexandre_Pr%C3%A9vot_%2816%29_%28cropped%29.jpg/250px-Aston_Martin_DB9_-_Flickr_-_Alexandre_Pr%C3%A9vot_%2816%29_%28cropped%29.jpg,"The Aston Martin DB9 is a British grand tourer first shown by Aston Martin at the 2003 Frankfurt Auto Show. Available both in coupé and a convertible bodystyles, the latter being known as the Volante, the DB9 was the successor of the DB7. It was the first model built at Aston Martin's Gaydon facility.
The DB9, originally designed by Ian Callum and finished by Henrik Fisker, has an aluminium construction. The chassis is the Ford developed VH platform whilst the engine is the 5.9-litre V12 from the Vanquish. The 2013 model year facelift saw many improvements to the design, the engine and the overall driving experience.
Aston Martin Racing adapted the DB9 for sports car racing, producing the DBR9 for FIA GT1 and the DBRS9 for FIA GT3. These two cars are modified DB9 models adapted for motorsport; the interior features are removed and the aluminium body panels are replaced by carbon fibre panels. Additionally, the engine has been tweaked in both the cars to produce more horsepower and torque.
Production of the DB9 ended after 12 years in 2016, having been replaced by the DB11 which uses an all-new platform and engine.",00024.jpg,00024.jpg
<Aston_Martin_One-77>,Aston Martin One-77,2009,Aston Martin One-77 (8701486190) (cropped).jpg,Aston Martin,Grand Tourer,4601 mm,1222 mm,2204 mm,https://upload.wikimedia.org/wikipedia/commons/7/78/Aston_Martin_One-77_%288701486190%29_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Aston_Martin_One-77_%288701486190%29_%28cropped%29.jpg/250px-Aston_Martin_One-77_%288701486190%29_%28cropped%29.jpg,"The Aston Martin One-77 is a two-door, two-seater flagship sports car built by the British car manufacturer Aston Martin. The car was first shown at the 2008 Paris Motor Show, although it remained mostly covered by a ""Savile Row tailored skirt"" throughout the show. It was revealed in full at the 2009 Geneva Motor Show, and deliveries from the beginning of 2011.
The production of the One-77 was limited to 77 cars, forming part of the name One-77, and sold for GB£1,150,000. In May 2012, one of the 77 was involved in a crash in Hong Kong and was written off, reducing the number of total cars in existence to 76.",00025.jpg,00025.jpg
<Aston_Martin_Rapide>,Aston Martin Rapide,2009,2014 AM Rapide S front.jpg,Aston Martin,Full-size luxury car (F),197.6 in,53.5 in,75.9 in,https://upload.wikimedia.org/wikipedia/commons/8/8c/2014_AM_Rapide_S_front.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/2014_AM_Rapide_S_front.jpg/250px-2014_AM_Rapide_S_front.jpg,"The Aston Martin Rapide is a 5-door, 4-seater, high-performance sports saloon, which the British luxury marque Aston Martin introduced in early 2010. It was first presented as a concept car at the North American International Auto Show in 2006 and the production version was shown at the 2009 Frankfurt Motor Show.

The Rapide name is a reference to the Lagonda Rapide, a five-door, four-seater saloon produced by Lagonda, now a part of Aston Martin. The new Rapide is the company's first 5-door fastback saloon since the Lagonda which was discontinued in 1990. The Rapide is based on the DB9 and is underpinned by the Aston Martin VH platform.The first cars rolled off the production line in May 2010, initially built at a dedicated plant at the Magna Steyr facility in Graz, Austria. The factory initially planned to build 2,000 cars per year, but production was relocated to England in 2012 after sales did not meet production targets. The Rapide was replaced by the DBX crossover SUV in 2020.",00026.jpg,00026.jpg
<Audi_A1>,Audi A1,2010,2014 Audi A1 (8X MY14) 1.4 TFSI Attraction Sportback 5-door hatchback (2015-07-09) 01.jpg,Audi AG,Supermini (B),3954 mm,1416 mm,1740 mm,https://upload.wikimedia.org/wikipedia/commons/f/fe/2014_Audi_A1_%288X_MY14%29_1.4_TFSI_Attraction_Sportback_5-door_hatchback_%282015-07-09%29_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/2014_Audi_A1_%288X_MY14%29_1.4_TFSI_Attraction_Sportback_5-door_hatchback_%282015-07-09%29_01.jpg/250px-2014_Audi_A1_%288X_MY14%29_1.4_TFSI_Attraction_Sportback_5-door_hatchback_%282015-07-09%29_01.jpg,"The Audi A1 (internally designated Typ 8X) is a supermini car launched by Audi at the 2010 Geneva Motor Show. Sales of the initial 3 door A1 model started in Germany in August 2010, with the United Kingdom following in November 2010. A five-door version, called Sportback, was launched in November 2011, with sales starting in export markets during spring 2012.",00027.jpg,00027.jpg
<Audi_A2>,Audi A2,1999,Audi A2 front 20071002.jpg,Audi,Supermini,3826 mm,1553 mm,1673 mm,https://upload.wikimedia.org/wikipedia/commons/c/cf/Audi_A2_front_20071002.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Audi_A2_front_20071002.jpg/250px-Audi_A2_front_20071002.jpg,"The Audi A2 (internally designated Typ 8Z) is a compact MPV-styled supermini car, with a five-door hatchback body style and four or five seats, produced by the German manufacturer Audi from November 1999 to August 2005. Based on the Audi Al2 concept car first shown at the Frankfurt Motor Show in 1997, the A2 was notable for being constructed from aluminium, which in combination with its efficient engines, made it an extremely economical car on fuel.
Packages available in Germany included 'Advance', 'Style', 'High Tech', and later 'S line'; whereas in the United Kingdom, the A2 was available in various trim levels, including: 'Standard', 'SE' (for 'Special Equipment'), 'Sport', 'Special Edition' (2005 only).",00028.jpg,00028.jpg
<Audi_A3>,Audi A3,1996,Audi_A3_front_20080326.jpg,AUDI AG,Compact car / Small family car (C),4152 mm,1423 mm,1735 mm,https://upload.wikimedia.org/wikipedia/commons/c/cc/Audi_A3_front_20080326.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Audi_A3_front_20080326.jpg/250px-Audi_A3_front_20080326.jpg,"The Audi A3 is a small family or subcompact executive car manufactured and marketed since the 1990s by the Audi subdivision of the Volkswagen Group, currently in its fourth generation.
The first two generations of the Audi A3 were based on the Volkswagen Group A platform, which they share with the Audi TT, Volkswagen Golf, Volkswagen Caddy, and Volkswagen Touran, as well as SEAT León, SEAT Toledo, and Škoda Octavia.
The third-generation A3 uses the Volkswagen Group MQB platform.",00029.jpg,00029.jpg
<Audi_A4>,Audi A4,1994,Audi-A4-B5-1.jpg,Audi AG,Compact executive car (D),4726 mm,1427 mm,1733 mm,https://upload.wikimedia.org/wikipedia/commons/a/a5/Audi-A4-B5-1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Audi-A4-B5-1.jpg/250px-Audi-A4-B5-1.jpg,"The Audi A4 is a line of compact executive cars produced since 1994 by the German car manufacturer Audi, a subsidiary of the Volkswagen Group.
The A4 has been built in five generations and is based on the Volkswagen Group B platform. The first generation A4 succeeded the Audi 80. The automaker's internal numbering treats the A4 as a continuation of the Audi 80 lineage, with the initial A4 designated as the B5-series, followed by the B6, B7, B8, and the B9. The B8 and B9 versions of the A4 are built on the Volkswagen Group MLB platform shared with many other Audi models and potentially one Porsche model within Volkswagen Group.The Audi A4 automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine. The cars are front-wheel drive, or on some models, ""quattro"" all-wheel drive.
The A4 is available as a sedan and station wagon. The second (B6) and third generations (B7) of the A4 also had a convertible version, but the B8 version of the convertible became a variant of the Audi A5 instead of as Audi got back into the compact executive coupé segment.",00030.jpg,00030.jpg
