street,city,zipcode,region,abbr,country,complete,continent
2305 Speedway Stop C1160,Austin,78712,Texas,TX,United States,"2305 Speedway Stop C1160, Austin TX 78712",North America
300 E. Huntland Drive,Austin,78752,Texas,TX,United States,"300 E. Huntland Drive, Austin TX 78752",North America
11650 West Whyman Avenue,Avondale,85323,Arizona,AZ,United States,"11650 West Whyman Avenue, Avondale AZ 85323",North America
510 N. Central Ave.,Avondale,85323,Arizona,AZ,United States,"510 N. Central Ave., Avondale AZ 85323",North America
515 Breezy Circle,Bagdad,86321,Arizona,AZ,United States,"515 Breezy Circle, Bagdad AZ 86321",North America
128 W. Franklin Street,Baltimore,21201,Maryland,MD,United States,"128 W. Franklin Street, Baltimore MD 21201",North America
1400 W. Cold Spring Lane,Baltimore,21209,Maryland,MD,United States,"1400 W. Cold Spring Lane, Baltimore MD 21209",North America
2453 Maryland Avenue,Baltimore,21218,Maryland,MD,United States,"2453 Maryland Avenue, Baltimore MD 21218",North America
430 South First Street,Barstow,92311,California,CA,United States,"430 South First Street, Barstow CA 92311",North America
5750 Parkview Church Road,Baton Rouge,70816,Louisiana,LA,United States,"5750 Parkview Church Road, Baton Rouge LA 70816",North America
4250 Richmond Road,Beachwood,44122,Ohio,OH,United States,"4250 Richmond Road, Beachwood OH 44122",North America
4400 Martin Luther King Parkway,Beaumont,77710,Texas,TX,United States,"4400 Martin Luther King Parkway, Beaumont TX 77710",North America
500 Blackhawk Road,Beaver Falls,15010,Pennsylvania,PA,United States,"500 Blackhawk Road, Beaver Falls PA 15010",North America
4650 Bissonnet Street,Bellaire,77401,Texas,TX,United States,"4650 Bissonnet Street, Bellaire TX 77401",North America
4105 Front Mountain Road,Belleville,17004,Pennsylvania,PA,United States,"4105 Front Mountain Road, Belleville PA 17004",North America
600 Lake Road,Belton,76513,Texas,TX,United States,"600 Lake Road, Belton TX 76513",North America
107 North Nelson,Bennington,67422,Kansas,KS,United States,"107 North Nelson, Bennington KS 67422",North America
360 S. Patagonia,Benson,85602,Arizona,AZ,United States,"360 S. Patagonia, Benson AZ 85602",North America
6623 North Mueller Avenue,Bethany,73008,Oklahoma,OK,United States,"6623 North Mueller Avenue, Bethany OK 73008",North America
58 Harrison Lane,Bethlehem,06751,Connecticut,CT,United States,"58 Harrison Lane, Bethlehem CT 06751",North America
241 Moreno Drive,Beverly Hills,90212,California,CA,United States,"241 Moreno Drive, Beverly Hills CA 90212",North America
351 Maple Lane,Big Bear City,92315,California,CA,United States,"351 Maple Lane, Big Bear City CA 92315",North America
12450 Church Street,Birch Run,48415,Michigan,MI,United States,"12450 Church Street, Birch Run MI 48415",North America
325 School Terrace Rd,Bisbee,85603,Arizona,AZ,United States,"325 School Terrace Rd, Bisbee AZ 85603",North America
4001 West 102nd Street,Bloomington,55437,Minnesota,MN,United States,"4001 West 102nd Street, Bloomington MN 55437",North America
11020 CR 504,Blue Ridge,75424,Texas,TX,United States,"11020 CR 504, Blue Ridge TX 75424",North America
190 Seventh Street,Bohemia,11716-1331,New York,NY,United States,"190 Seventh Street, Bohemia NY 11716-1331",North America
825 West Highway 90,Bonifay,32425,Florida,FL,United States,"825 West Highway 90, Bonifay FL 32425",North America
78 Avenue Louis Pasteur,Boston,02115,Massachusetts,MA,United States,"78 Avenue Louis Pasteur, Boston MA 02115",North America
315 W. Fifth Street,Bowie,85605,Arizona,AZ,United States,"315 W. Fifth Street, Bowie AZ 85605",North America
3145 East Birch St.,Brea,92821-6250,California,CA,United States,"3145 East Birch St., Brea CA 92821-6250",North America
2839 Bedford Avenue,Brooklyn,11210,New York,NY,United States,"2839 Bedford Avenue, Brooklyn NY 11210",North America
400 Pennsylvania Avenue,Brooklyn,11207,New York,NY,United States,"400 Pennsylvania Avenue, Brooklyn NY 11207",North America
5800 20th Avenue,Brooklyn,11204,New York,NY,United States,"5800 20th Avenue, Brooklyn NY 11204",North America
675 4th Avenue,Brooklyn,11232,New York,NY,United States,"675 4th Avenue, Brooklyn NY 11232",North America
362 Schermerhorn St.,Brooklyn,11217,New York,NY,United States,"362 Schermerhorn St., Brooklyn NY 11217",North America
412 East Anderson Road,Brookville,67425,Kansas,KS,United States,"412 East Anderson Road, Brookville KS 67425",North America
24787 Van Horn Road,Brownstown,48134,Michigan,MI,United States,"24787 Van Horn Road, Brownstown MI 48134",North America
314 West Los Ebanos Boulevard,Brownsville,78520,Texas,TX,United States,"314 West Los Ebanos Boulevard, Brownsville TX 78520",North America
3205 South Dakota Avenue,Brownsville,78521,Texas,TX,United States,"3205 South Dakota Avenue, Brownsville TX 78521",North America
20050 W. Indian School Road,Buckeye,85396,Arizona,AZ,United States,"20050 W. Indian School Road, Buckeye AZ 85396",North America
3000 S. Apache Road,Buckeye,85326,Arizona,AZ,United States,"3000 S. Apache Road, Buckeye AZ 85326",North America
2424 North Outer Drive,Buena Vista Township,48601,Michigan,MI,United States,"2424 North Outer Drive, Buena Vista Township MI 48601",North America
3945 East Holland,Buena Vista Township,48601,Michigan,MI,United States,"3945 East Holland, Buena Vista Township MI 48601",North America
2251 Highway 95,Bullhead City,86442,Arizona,AZ,United States,"2251 Highway 95, Bullhead City AZ 86442",North America
256 East 800 South,Bunker Hill,46914,Indiana,IN,United States,"256 East 800 South, Bunker Hill IN 46914",North America
109 West Kramer Road,Burkburnett,76354,Texas,TX,United States,"109 West Kramer Road, Burkburnett TX 76354",North America
3218 Hiddenwood Lane,Burlington,27215,North Carolina,NC,United States,"3218 Hiddenwood Lane, Burlington NC 27215",North America
"350 Riverbank,",Burlington,08016,New Jersey,NJ,United States,"350 Riverbank,, Burlington NJ 08016",North America
550 County Road 307,Caldwell,77836,Texas,TX,United States,"550 County Road 307, Caldwell TX 77836",North America
1326 Montezuma Castle Rd.,Camp Verde,86322,Arizona,AZ,United States,"1326 Montezuma Castle Rd., Camp Verde AZ 86322",North America
121 Wheeler Street,Campobello,29322,South Carolina,SC,United States,"121 Wheeler Street, Campobello SC 29322",North America
143 North Pearl St.,Canandaigua,14424,New York,NY,United States,"143 North Pearl St., Canandaigua NY 14424",North America
75 Academy Dr,Candler,28715,North Carolina,NC,United States,"75 Academy Dr, Candler NC 28715",North America
109 South Main Street,Canton,67428,Kansas,KS,United States,"109 South Main Street, Canton KS 67428",North America
6675 South Desert Boulevard,Canutillo,79932,Texas,TX,United States,"6675 South Desert Boulevard, Canutillo TX 79932",North America
623 W. Penn St.,Carlisle,17013,Pennsylvania,PA,United States,"623 W. Penn St., Carlisle PA 17013",North America
700 Gardner Lacy Road,Carolina Forest,29579,South Carolina,SC,United States,"700 Gardner Lacy Road, Carolina Forest SC 29579",North America
3197 Carrabassett Drive,Carrabassett Valley,04947,Maine,ME,United States,"3197 Carrabassett Drive, Carrabassett Valley ME 04947",North America
1376 E. Cottonwood Lane,Casa Grande,85122,Arizona,AZ,United States,"1376 E. Cottonwood Lane, Casa Grande AZ 85122",North America
1556 N. Arizola Road,Casa Grande,85122,Arizona,AZ,United States,"1556 N. Arizola Road, Casa Grande AZ 85122",North America
2730 N Trekell Road,Casa Grande,85122,Arizona,AZ,United States,"2730 N Trekell Road, Casa Grande AZ 85122",North America
2730 N. Trekell Road,Casa Grande,85122,Arizona,AZ,United States,"2730 N. Trekell Road, Casa Grande AZ 85122",North America
708 Locust Street,Cawker City,67430,Kansas,KS,United States,"708 Locust Street, Cawker City KS 67430",North America
1300 State Street,Cayce,29033,South Carolina,SC,United States,"1300 State Street, Cayce SC 29033",North America
3455 North Preston Road,Celina,75009,Texas,TX,United States,"3455 North Preston Road, Celina TX 75009",North America
500 South Broadway,Center,81125,Colorado,CO,United States,"500 South Broadway, Center CO 81125",North America
17700 Dumont Ave,Cerritos,90703,California,CA,United States,"17700 Dumont Ave, Cerritos CA 90703",North America
200 East St. Bernard Hwy,Chalmette,70043,Louisiana,LA,United States,"200 East St. Bernard Hwy, Chalmette LA 70043",North America
201 8th Street,Chalmette,70043,Louisiana,LA,United States,"201 8th Street, Chalmette LA 70043",North America
1150 W. Erie Street,Chandler,85224,Arizona,AZ,United States,"1150 W. Erie Street, Chandler AZ 85224",North America
2200 N. Arizona Ave #17,Chandler,85225,Arizona,AZ,United States,"2200 N. Arizona Ave #17, Chandler AZ 85225",North America
822 North Marshall,Chapman,67431,Kansas,KS,United States,"822 North Marshall, Chapman KS 67431",North America
63466 Boat Basin Road,Charleston,97420,Oregon,OR,United States,"63466 Boat Basin Road, Charleston OR 97420",North America
240 Medford Street,Charlestown,02129,Massachusetts,MA,United States,"240 Medford Street, Charlestown MA 02129",North America
2001 Alleghany Street,Charlotte,28208,North Carolina,NC,United States,"2001 Alleghany Street, Charlotte NC 28208",North America
313 East Ave C,Chase,67524,Kansas,KS,United States,"313 East Ave C, Chase KS 67524",North America
171 Baylor School Road,Chattanooga,37405,Tennessee,TN,United States,"171 Baylor School Road, Chattanooga TN 37405",North America
299 Everett Avenue,Chelsea,02150,Massachusetts,MA,United States,"299 Everett Avenue, Chelsea MA 02150",North America
100 West 6th Avenue,Cheney,67025,Kansas,KS,United States,"100 West 6th Avenue, Cheney KS 67025",North America
506 S Smelter St,Cherokee,66724,Kansas,KS,United States,"506 S Smelter St, Cherokee KS 66724",North America
3231 Old Furnace Road,Chesnee,29323,South Carolina,SC,United States,"3231 Old Furnace Road, Chesnee SC 29323",North America
1616 S Spaulding Ave,Chicago,60623,Illinois,IL,United States,"1616 S Spaulding Ave, Chicago IL 60623",North America
211 S. Laflin Street,Chicago,60607,Illinois,IL,United States,"211 S. Laflin Street, Chicago IL 60607",North America
2714 W. Augusta Blvd,Chicago,60622,Illinois,IL,United States,"2714 W. Augusta Blvd, Chicago IL 60622",North America
3120 S Kostner Ave,Chicago,60623,Illinois,IL,United States,"3120 S Kostner Ave, Chicago IL 60623",North America
3235 N. Leclaire Avenue,Chicago,60641,Illinois,IL,United States,"3235 N. Leclaire Avenue, Chicago IL 60641",North America
42 West Madison Street,Chicago,60602,Illinois,IL,United States,"42 West Madison Street, Chicago IL 60602",North America
5501 N. Kedzie Avenue,Chicago,60625,Illinois,IL,United States,"5501 N. Kedzie Avenue, Chicago IL 60625",North America
59 W. North Avenue.,Chicago,60610,Illinois,IL,United States,"59 W. North Avenue., Chicago IL 60610",North America
6201 S. Stewart Ave.,Chicago,60621,Illinois,IL,United States,"6201 S. Stewart Ave., Chicago IL 60621",North America
6301 S. Halsted Street,Chicago,60621,Illinois,IL,United States,"6301 S. Halsted Street, Chicago IL 60621",North America
PO BOX 804835,Chicago,60680,Illinois,IL,United States,"PO BOX 804835, Chicago IL 60680",North America
1475 East Avenue,Chico,95926,California,CA,United States,"1475 East Avenue, Chico CA 95926",North America
4586 Main Street,Chincoteague,23336,Virginia,VA,United States,"4586 Main Street, Chincoteague VA 23336",North America
RRTP #PTT HC 61 Box 1480,Chinle,86503,Arizona,AZ,United States,"RRTP #PTT HC 61 Box 1480, Chinle AZ 86503",North America
14255 Peyton Avenue,Chino Hills,91709,California,CA,United States,"14255 Peyton Avenue, Chino Hills CA 91709",North America
760 E. Center Street,Chino Valley,86323,Arizona,AZ,United States,"760 E. Center Street, Chino Valley AZ 86323",North America
5110 W. 24th Street,Cicero,60804,Illinois,IL,United States,"5110 W. 24th Street, Cicero IL 60804",North America
201 E. Stuart Roosa Avenue,Claremore,74019,Oklahoma,OK,United States,"201 E. Stuart Roosa Avenue, Claremore OK 74019",North America
2900 Community College Avenue,Cleveland,44115,Ohio,OH,United States,"2900 Community College Avenue, Cleveland OH 44115",North America
615 Ellis,Coffeyville,67337,Kansas,KS,United States,"615 Ellis, Coffeyville KS 67337",North America
600 East Garfield Street,Coldwater,67029,Kansas,KS,United States,"600 East Garfield Street, Coldwater KS 67029",North America
901 Cheek-Sparger Road,Colleyville,76034,Texas,TX,United States,"901 Cheek-Sparger Road, Colleyville TX 76034",North America
255 North Cottonwood Street,Colorado City,86021,Arizona,AZ,United States,"255 North Cottonwood Street, Colorado City AZ 86021",North America
6831 Brookfield Road,Columbia,29206,South Carolina,SC,United States,"6831 Brookfield Road, Columbia SC 29206",North America
9142 FM 78,Converse,78109,Texas,TX,United States,"9142 FM 78, Converse TX 78109",North America
1290B W Vah Ki Inn Road,Coolidge,85128,Arizona,AZ,United States,"1290B W Vah Ki Inn Road, Coolidge AZ 85128",North America
684 W. Northern Ave,Coolidge,85128,Arizona,AZ,United States,"684 W. Northern Ave, Coolidge AZ 85128",North America
185 West Parkway Boulevard,Coppell,75019,Texas,TX,United States,"185 West Parkway Boulevard, Coppell TX 75019",North America
1400 NW Buchanan Ave,Corvallis,97330,Oregon,OR,United States,"1400 NW Buchanan Ave, Corvallis OR 97330",North America
125 S. 6th Street,Cottonwood,86326,Arizona,AZ,United States,"125 S. 6th Street, Cottonwood AZ 86326",North America
1801 East Fir Street,Cottonwood,86326,Arizona,AZ,United States,"1801 East Fir Street, Cottonwood AZ 86326",North America
219 Broadway Street,Cottonwood Falls,66845,Kansas,KS,United States,"219 Broadway Street, Cottonwood Falls KS 66845",North America
17 South Wood Street,Council Grove,66846,Kansas,KS,United States,"17 South Wood Street, Council Grove KS 66846",North America
97 Bochicchio Blvd,Covington Township,18444,Pennsylvania,PA,United States,"97 Bochicchio Blvd, Covington Township PA 18444",North America
1500 South Sangamon Street,Crete,60417,Illinois,IL,United States,"1500 South Sangamon Street, Crete IL 60417",North America
13157 N. Olive Spur Road,Creve Coeur,63141,Missouri,MO,United States,"13157 N. Olive Spur Road, Creve Coeur MO 63141",North America
22602 Hempstead Freeway,Cypress,77429,Texas,TX,United States,"22602 Hempstead Freeway, Cypress TX 77429",North America
1435 Roanoke Road,Daleville,24083,Virginia,VA,United States,"1435 Roanoke Road, Daleville VA 24083",North America
100 South Glasgow Road,Dallas,75214,Texas,TX,United States,"100 South Glasgow Road, Dallas TX 75214",North America
15920 Seagoville Road,Dallas,75253,Texas,TX,United States,"15920 Seagoville Road, Dallas TX 75253",North America
1819 West Wheatland Road,Dallas,75232,Texas,TX,United States,"1819 West Wheatland Road, Dallas TX 75232",North America
2101 Millmar Drive,Dallas,75228,Texas,TX,United States,"2101 Millmar Drive, Dallas TX 75228",North America
2120 W. Jefferson Blvd,Dallas,75208,Texas,TX,United States,"2120 W. Jefferson Blvd, Dallas TX 75208",North America
2200 Dennison Street,Dallas,75212,Texas,TX,United States,"2200 Dennison Street, Dallas TX 75212",North America
3000 Martin L. King Jr. Boulevard,Dallas,75215,Texas,TX,United States,"3000 Martin L. King Jr. Boulevard, Dallas TX 75215",North America
3120 North Haskell Avenue,Dallas,75204,Texas,TX,United States,"3120 North Haskell Avenue, Dallas TX 75204",North America
3601 South Marsalis Avenue,Dallas,75216,Texas,TX,United States,"3601 South Marsalis Avenue, Dallas TX 75216",North America
3606 South Westmoreland Road,Dallas,75233,Texas,TX,United States,"3606 South Westmoreland Road, Dallas TX 75233",North America
4505 Ridgeside Drive,Dallas,75244,Texas,TX,United States,"4505 Ridgeside Drive, Dallas TX 75244",North America
7777 Forney Road,Dallas,75227-2505,Texas,TX,United States,"7777 Forney Road, Dallas TX 75227-2505",North America
8928 Palisade Drive,Dallas,75217,Texas,TX,United States,"8928 Palisade Drive, Dallas TX 75217",North America
9733 Old Seagoville Road,Dallas,75217,Texas,TX,United States,"9733 Old Seagoville Road, Dallas TX 75217",North America
9924 Hillcrest Road,Dallas,75230,Texas,TX,United States,"9924 Hillcrest Road, Dallas TX 75230",North America
5611 Panther Drive,Danbury,77534,Texas,TX,United States,"5611 Panther Drive, Danbury TX 77534",North America
3131 Stone Valley Road,Danville,94526,California,CA,United States,"3131 Stone Valley Road, Danville CA 94526",North America
2013 West Third Street,Dayton,45417,Ohio,OH,United States,"2013 West Third Street, Dayton OH 45417",North America
1011 Prospect Drive,Decatur,35601,Alabama,AL,United States,"1011 Prospect Drive, Decatur AL 35601",North America
1625 Danville Rd.,Decatur,35603,Alabama,AL,United States,"1625 Danville Rd., Decatur AL 35603",North America
1900 S Sunnylane Road,Del City,73115,Oklahoma,OK,United States,"1900 S Sunnylane Road, Del City OK 73115",North America
4200 N Hwy 91,Denison,75020-6899,Texas,TX,United States,"4200 N Hwy 91, Denison TX 75020-6899",North America
1007 Fulton Street,Denton,76201,Texas,TX,United States,"1007 Fulton Street, Denton TX 76201",North America
5101 East McKinney Street,Denton,76208,Texas,TX,United States,"5101 East McKinney Street, Denton TX 76208",North America
624 Hwy 20 East,Denton,66017,Kansas,KS,United States,"624 Hwy 20 East, Denton KS 66017",North America
4762 State Highway 199,Dickson,73401,Oklahoma,OK,United States,"4762 State Highway 199, Dickson OK 73401",North America
1000 North 2nd Ave,Dodge City,67801,Kansas,KS,United States,"1000 North 2nd Ave, Dodge City KS 67801",North America
16500 Pierce Ferry Rd,Dolan Springs,86441,Arizona,AZ,United States,"16500 Pierce Ferry Rd, Dolan Springs AZ 86441",North America
8600 NW 107th Ave,Doral,33178,Florida,FL,United States,"8600 NW 107th Ave, Doral FL 33178",North America
20 Seaborne Drive,Dover,03820,New Hampshire,NH,United States,"20 Seaborne Drive, Dover NH 03820",North America
6301 Springside Avenue,Downers Grove,60516,Illinois,IL,United States,"6301 Springside Avenue, Downers Grove IL 60516",North America
300 N.W. 2nd Avenue,Downtown Miami,33128,Florida,FL,United States,"300 N.W. 2nd Avenue, Downtown Miami FL 33128",North America
175 West Main Street,Duchesne,84021,Utah,UT,United States,"175 West Main Street, Duchesne UT 84021",North America
108 Stadium Blvd.,Duncan,85534,Arizona,AZ,United States,"108 Stadium Blvd., Duncan AZ 85534",North America
900 West Camp Wisdom Road,Duncanville,75116,Texas,TX,United States,"900 West Camp Wisdom Road, Duncanville TX 75116",North America
950 Gerlach Drive,Durant,74701,Oklahoma,OK,United States,"950 Gerlach Drive, Durant OK 74701",North America
3218 Rose of Sharon Road,Durham,27712,North Carolina,NC,United States,"3218 Rose of Sharon Road, Durham NC 27712",North America
270 Industrial Way West,Eatontown,07724,New Jersey,NJ,United States,"270 Industrial Way West, Eatontown NJ 07724",North America
1414 N. Alamo Road,Edinburg,78541,Texas,TX,United States,"1414 N. Alamo Road, Edinburg TX 78541",North America
2600 E. Wisconsin Road,Edinburg,78542,Texas,TX,United States,"2600 E. Wisconsin Road, Edinburg TX 78542",North America
3101 N. Closner Blvd,Edinburg,78541,Texas,TX,United States,"3101 N. Closner Blvd, Edinburg TX 78541",North America
724 Sugar Road,Edingburg,78539,Texas,TX,United States,"724 Sugar Road, Edingburg TX 78539",North America
124 West Central Ave,El Dorado,67042,Kansas,KS,United States,"124 West Central Ave, El Dorado KS 67042",North America
11425 North Dysart Road,El Mirage,85335,Arizona,AZ,United States,"11425 North Dysart Road, El Mirage AZ 85335",North America
4088 E. Jefferson Rd.,Elfrida,85610,Arizona,AZ,United States,"4088 E. Jefferson Rd., Elfrida AZ 85610",North America
Highway 17 & Mighty Owl Avenue,Elgin,73538,Oklahoma,OK,United States,"Highway 17 & Mighty Owl Avenue, Elgin OK 73538",North America
145 W. 15th Street,Ellsworth,67439,Kansas,KS,United States,"145 W. 15th Street, Ellsworth KS 67439",North America
900 N. Main Street,Eloy,85131,Arizona,AZ,United States,"900 N. Main Street, Eloy AZ 85131",North America
1100 E. Main Street,Endicott,13760,New York,NY,United States,"1100 E. Main Street, Endicott NY 13760",North America
124 North Maple Street,Enfield,06082,Connecticut,CT,United States,"124 North Maple Street, Enfield CT 06082",North America
2700 S. Zuni St.,Englewood,80110,Colorado,CO,United States,"2700 S. Zuni St., Englewood CO 80110",North America
4018 W. Carrier Rd.,Enid,73703,Oklahoma,OK,United States,"4018 W. Carrier Rd., Enid OK 73703",North America
600 W. Wabash,Enid,73701,Oklahoma,OK,United States,"600 W. Wabash, Enid OK 73701",North America
1801 E. Paper Mill Road,Erdenheim,19038,Pennsylvania,PA,United States,"1801 E. Paper Mill Road, Erdenheim PA 19038",North America
35 Hillcrest Avenue,Erdenheim,19038,Pennsylvania,PA,United States,"35 Hillcrest Avenue, Erdenheim PA 19038",North America
500 North Industrial Boulevard,Euless,76039,Texas,TX,United States,"500 North Industrial Boulevard, Euless TX 76039",North America
15331 Hwy 41 North,Evansville,47725,Indiana,IN,United States,"15331 Hwy 41 North, Evansville IN 47725",North America
211 Fielding Road,Evansville,47715,Indiana,IN,United States,"211 Fielding Road, Evansville IN 47715",North America
1000 Race Street Drive,Everman,76140,Texas,TX,United States,"1000 Race Street Drive, Everman TX 76140",North America
91-980 North Road,Ewa Beach,96706,Hawaii,HI,United States,"91-980 North Road, Ewa Beach HI 96706",North America
1001 Fairdale Road,Fairdale,40118,Kentucky,KY,United States,"1001 Fairdale Road, Fairdale KY 40118",North America
7460 McCray Road,Fairview,16415,Pennsylvania,PA,United States,"7460 McCray Road, Fairview PA 16415",North America
2700 Christian Parkway,Farmers Branch,75234,Texas,TX,United States,"2700 Christian Parkway, Farmers Branch TX 75234",North America
499 State Highway 78,Farmersville,75442-0472,Texas,TX,United States,"499 State Highway 78, Farmersville TX 75442-0472",North America
1 Black Knight Drive,Farmington,63640,Missouri,MO,United States,"1 Black Knight Drive, Farmington MO 63640",North America
1062 Southern Avenue,Fayetteville,28306,North Carolina,NC,United States,"1062 Southern Avenue, Fayetteville NC 28306",North America
3300 E. Sparrow Ave.,Flagstaff,86004,Arizona,AZ,United States,"3300 E. Sparrow Ave., Flagstaff AZ 86004",North America
400 West Elm,Flagstaff,86001,Arizona,AZ,United States,"400 West Elm, Flagstaff AZ 86001",North America
6575 Old Vincennes Rd.,Floyds Knobs,47119,Indiana,IN,United States,"6575 Old Vincennes Rd., Floyds Knobs IN 47119",North America
149-11 Melbourne Ave.,Flushing,11367,New York,NY,United States,"149-11 Melbourne Ave., Flushing NY 11367",North America
1 Pride Place,Foley,36535,Alabama,AL,United States,"1 Pride Place, Foley AL 36535",North America
67-01 110th St.,Forest Hills,11375,New York,NY,United States,"67-01 110th St., Forest Hills NY 11375",North America
2407 LaPorte Avenue,Fort Collins,80521,Colorado,CO,United States,"2407 LaPorte Avenue, Fort Collins CO 80521",North America
2501 NW 11th St,Fort Lauderdale,33311-5796,Florida,FL,United States,"2501 NW 11th St, Fort Lauderdale FL 33311-5796",North America
2301 N B Street,Fort Smith,72901,Arkansas,AR,United States,"2301 N B Street, Fort Smith AR 72901",North America
15502 W. Hwy 70,Fort Thomas,85536,Arizona,AZ,United States,"15502 W. Hwy 70, Fort Thomas AZ 85536",North America
4501 West Freeway,Fort Worth,76107,Texas,TX,United States,"4501 West Freeway, Fort Worth TX 76107",North America
16100 E. Palisades Blvd.,Fountain Hills,85268,Arizona,AZ,United States,"16100 E. Palisades Blvd., Fountain Hills AZ 85268",North America
10700 Legacy Road,Frisco,75033,Texas,TX,United States,"10700 Legacy Road, Frisco TX 75033",North America
2606 Panther Creek Parkway,Frisco,75034,Texas,TX,United States,"2606 Panther Creek Parkway, Frisco TX 75034",North America
3003 Stonebrook Parkway,Frisco,75034,Texas,TX,United States,"3003 Stonebrook Parkway, Frisco TX 75034",North America
5151 Ohio Drive,Frisco,75035,Texas,TX,United States,"5151 Ohio Drive, Frisco TX 75035",North America
6901 Coit Road,Frisco,75035,Texas,TX,United States,"6901 Coit Road, Frisco TX 75035",North America
1917 Black Creek Parkway,Gadsden,35904,Alabama,AL,United States,"1917 Black Creek Parkway, Gadsden AL 35904",North America
1900 NW 13th Street,Gainesville,32609,Florida,FL,United States,"1900 NW 13th Street, Gainesville FL 32609",North America
3505 Hayman Drive,Garland,75043-1920,Texas,TX,United States,"3505 Hayman Drive, Garland TX 75043-1920",North America
308 N. Martin Avenue,Gila Bend,85337,Arizona,AZ,United States,"308 N. Martin Avenue, Gila Bend AZ 85337",North America
