,name,country,latitude,longitude,picture,caption,picture_url,picture_thumb,description,picture_url_local,picture_thumb_local,continent
<Lake_Moultrie>,Lake Moultrie,United States,33.3,-80.05,Lake Moultrie.jpg,A picture of Lake Moultrie from the southwest shore.,https://upload.wikimedia.org/wikipedia/commons/9/95/Lake_Moultrie.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Lake_Moultrie.jpg/250px-Lake_Moultrie.jpg,"Lake Moultrie is the third largest lake in South Carolina. Created in the 1940s by a state utility project to dam the Cooper River, it covers more than 60,000 acres (240 km2). It provides a wide variety of recreational opportunities, including fishing.",00011.jpg,00011.jpg,North America
<Trillium_Lake>,Trillium Lake,United States,45.267340600000004,-121.74229979999998,Trilliumlake.jpg,Mount Hood seen from the lake,https://upload.wikimedia.org/wikipedia/commons/4/44/Trilliumlake.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Trilliumlake.jpg/250px-Trilliumlake.jpg,"Trillium Lake is a lake situated 7.5 miles (12.1 km) south-southwest of Mount Hood in the U.S. state of Oregon.  It is formed by a dam at the headwaters of Mud Creek, tributary to the Salmon River.  It was created by the state Department of Fish and Wildlife in 1960.The area which is now the lake was part of the Barlow Road, a component of the Oregon Trail.  A log road across marshes allowed immigrants to pass to Summit Meadow, which was a toll station 1866—1870. Trillium is a genus of flowers particularly noticeable in the area.
The lake is popular for fishing, camping and photography, often clearly reflecting Mount Hood.  Adjacent Trillium Lake Campground is administered by the Zigzag Ranger District of the Mount Hood National Forest.  The large campground features a seasonal boat ramp and wheelchair-accessible floating dock. The lake is a very popular Nordic skiing destination from a trailhead across U.S. Route 26 from Snow Bunny.  Some resources note its popularity on afternoons and weekends.  Trillium Lake is circled by the 2 miles (3.2 km) long Trillium Lake Trail.",00012.jpg,00012.jpg,North America
<Lady_Bird_Lake>,Lady Bird Lake,United States,30.25083333333333,-97.71361111111112,AustinSkylineLouNeffPoint-Jun2010-a.JPG,View from Lady Bird Lake toward Downtown Austin.,https://upload.wikimedia.org/wikipedia/commons/0/09/AustinSkylineLouNeffPoint-Jun2010-a.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/AustinSkylineLouNeffPoint-Jun2010-a.JPG/250px-AustinSkylineLouNeffPoint-Jun2010-a.JPG,"Lady Bird Lake (formerly, and still colloquially referred to as Town Lake) is a river-like reservoir on the Colorado River in Austin, Texas, United States. The City of Austin created the reservoir in 1960 as a cooling pond for a new city power plant. The lake, which has a surface area of 416 acres (168 ha), is now used primarily for recreation and flood control. The reservoir is named in honor of former First Lady of the United States Lady Bird Johnson.Lady Bird Lake is the easternmost lake of a chain of reservoirs on the river, which is completely located in Texas, and should not be confused with the larger Colorado River located in the Southwestern United States. This chain, known locally as the Texas Highland Lakes, also includes Lake Buchanan, Inks Lake, Lake LBJ, Lake Marble Falls, Lake Travis, and Lake Austin.",00013.jpg,00013.jpg,North America
<Savalen>,Savalen,Norway,62.241111,10.482222,Tronfjell.JPG,With Tronfjell in the background,https://upload.wikimedia.org/wikipedia/commons/2/22/Tronfjell.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Tronfjell.JPG/250px-Tronfjell.JPG,"Savalen is a lake in Innlandet country, Norway, in the municipalities Tynset and Alvdal, about 18 square kilometres. The river Sivilla, which connects Savalen and Glomma, is regulated and exploited by the Savalen hydropower station (62 MW). A tourist resort is located at the northern end of the lake, with facilities for winter sport. The skating stadium is the highest located skating venue in Norway, and saw two speed skating world records set by Eric Heiden, a world record in 1,000 m in 1978, and a world record in 3,000 m speedskating in 1979. Arne Garborg's Kolbotn is located at the southern end of the lake.",00014.jpg,00014.jpg,Europe
<Lake_Engure>,Lake Engure,Latvia,57.26666666666666,23.1,Engures ezers pie Dzedriem.jpg,Eastern coast of Lake Engure,https://upload.wikimedia.org/wikipedia/commons/e/e4/Engures_ezers_pie_Dzedriem.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Engures_ezers_pie_Dzedriem.jpg/250px-Engures_ezers_pie_Dzedriem.jpg,"Lake Engure is a lake in the western part of Latvia, in the Talsi District. It is the third largest lake in the country after Lake Lubāns and Lake Rāzna.
Lake Engure is an ancient sea lagoon, divided from the sea by a 1.5 - 2.5 km wide sand bar with dunes. Its outflow is the artificial Mersraga channel, dug in 1842. It is eutrophic, mostly overgrown with reeds, and contains 16 species of fish.
The whole lake and its vicinity have been included in the Lake Engure Nature Park  since 1999, although the first natural reserve was established here in 1957. It contains a floating base for ornithologists. The lake was included in Ramsar list of wetlands of international importance in 1995.",00015.jpg,00015.jpg,Europe
<Crescent_Lake_(Florida)>,Crescent Lake,United States,29.4635,-81.5007,Lake Crescent; Florida.jpg,Crescent Lake,https://upload.wikimedia.org/wikipedia/commons/d/d4/Lake_Crescent%3B_Florida.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Lake_Crescent%3B_Florida.jpg/250px-Lake_Crescent%3B_Florida.jpg,"Crescent Lake is a 15,960-acre (64.6 km2) freshwater lake located in Putnam and Flagler counties in North Central Florida. The lake is approximately 13 miles (21 km) in length and 2 miles (3.2 km) wide. At the north end it connects to St. Johns River by way of Dunn's Creek.",00016.jpg,00016.jpg,North America
<Lake_Chūzenji>,Lake Chūzenji,Japan,36.740555555555574,139.46222222222218,Mount nantai and lake chuzenji.jpg,Lake and Mt. Nantai,https://upload.wikimedia.org/wikipedia/commons/8/8a/Mount_nantai_and_lake_chuzenji.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Mount_nantai_and_lake_chuzenji.jpg/250px-Mount_nantai_and_lake_chuzenji.jpg,"Lake Chūzenji (中禅寺湖, Chūzenji-ko) is a scenic lake in Nikkō National Park in the city of Nikkō, Tochigi Prefecture, Japan. It was created 20,000 years ago when Mount Nantai (2484 m) erupted and blocked the river.
The lake has a surface area of 11.62 km² and a circumference of 25 km. Its elevation at the surface is 1,269 m (4,124 ft), and the water reaches a depth of 163 m (508 ft). The Yukawa River is the principal source of water. It drains through the Kegon Falls.
Chuzenji Lake was discovered in 782 by a priest named Shōdō when his group succeeded in climbing Mt. Nantai. Considered sacred, the mountain was closed to women, horses, and cows until 1872. In the middle of the Meiji period and early Showa period, many European embassies built vacation houses around the lake. The former Italian villa has been renewed and is now open to visitors. Other sites around the lake include Futara Shrine built in 790, Chuzenji Temple, and Kegon Falls.
In spring, cherry blossoms are blooming. In summer, people can escape the heat and enjoy bird watching and hiking. In fall of course, there are the famous beautiful autumn leaves and in winter there is the Snow and Ice Festival, plus winter sports like skiing and skating.
The lake was a favourite summer haunt of Sir Ernest Satow when he was Britain's envoy in Japan, 1895-1900 as his diaries of that time attest. He constructed a house by the lake which was used as a villa by the British Embassy for over a century.",00017.jpg,00017.jpg,Asia
<Lake_Noquebay>,Lake Noquebay,United States,45.2553,-87.9109,Lake Noquebay Loon Lake Realty.jpg,Lake Noquebay,https://upload.wikimedia.org/wikipedia/commons/9/98/Lake_Noquebay_Loon_Lake_Realty.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Lake_Noquebay_Loon_Lake_Realty.jpg/250px-Lake_Noquebay_Loon_Lake_Realty.jpg,Lake Noquebay ( NAH-kə-bee) is a large freshwater lake in northeastern Wisconsin.,00018.jpg,00018.jpg,North America
<Lake_Rerewhakaaitu>,Lake Rerewhakaaitu,New Zealand,-38.3,176.5,Lake Rerewhakaaitu.jpg,View of the lake from Mount Tarawera,https://upload.wikimedia.org/wikipedia/commons/b/b9/Lake_Rerewhakaaitu.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Lake_Rerewhakaaitu.jpg/250px-Lake_Rerewhakaaitu.jpg,"Lake Rerewhakaaitu is a small, shallow lake in northern New Zealand, located 30 kilometres to the east of Rotorua. It is immediately south of the active volcano Mount Tarawera, and the geography was substantially altered by a major eruption in 1886. 
Often the scene of Dog shows, like those from Rotorua, Agility during Easter, and the rather tedious obedience show in January.",00019.jpg,00019.jpg,Oceania
<Lake_Chilwa>,Lake Chilwa,Malawi,-15.3,35.7,Lake Chilwa NASA.jpg,seen from space (false color),https://upload.wikimedia.org/wikipedia/commons/d/d6/Lake_Chilwa_NASA.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Lake_Chilwa_NASA.jpg/250px-Lake_Chilwa_NASA.jpg,"Lake Chilwa is the second-largest lake in Malawi after Lake Malawi. It is in eastern Zomba District, near the border with Mozambique. Approximately 60 km long and 40 km wide, the lake is surrounded by extensive wetlands. There is a large island in the middle of the lake called Chisi Island.
The lake has no outlet, and the level of water is greatly affected by seasonal rains and summer evaporation. In 1968, the lake disappeared during exceptionally dry weather. When David Livingstone visited the lake in 1859, he reported that its southern boundary reached as far as the Mulanje Massif, which would have made the lake at least 20 miles longer than it is today.
The Danish International Development Agency, in cooperation with the Government of Malawi has been working to ensure preservation of the lake and its wetlands. The Lake Chilwa Basin Climate Change Adaption Programme (LCBCCAP) has been introduced to conserve the sensitive area, which is not only an important wetland for local fauna, but also a major source for fish products in the region.",00020.jpg,00020.jpg,Africa
<Bosten_Lake>,Bosten Lake,China,42.0,87.0,"Bosten-Lake (Bosten-See), Xinjiang, China, 87.00E, 42.00N.jpg",Satellite picture (2 November 2004),https://upload.wikimedia.org/wikipedia/commons/7/7c/Bosten-Lake_%28Bosten-See%29%2C_Xinjiang%2C_China%2C_87.00E%2C_42.00N.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Bosten-Lake_%28Bosten-See%29%2C_Xinjiang%2C_China%2C_87.00E%2C_42.00N.jpg/250px-Bosten-Lake_%28Bosten-See%29%2C_Xinjiang%2C_China%2C_87.00E%2C_42.00N.jpg,"Bosten Lake (traditional Chinese: 博斯騰湖; simplified Chinese: 博斯腾湖; pinyin: Bósīténg Hú, Uyghur: باغراش كۆلى‎ / Бағраш Көли / Baghrash Köli / Baƣrax Kɵli, Chagatai: Bostang) is a freshwater lake on the northeastern rim of the Tarim Basin, about 20 km (12 mi) east of Yanqi and 57 km (35 mi) northeast of Korla, Xinjiang, China in the Bayin'gholin Mongol Autonomous Prefecture. Covering an area of about 1,000 km2 (390 sq mi) (together with adjacent small lakes), it is the largest lake in Xinjiang and one of the largest inland freshwater lakes in China. Bosten lake receives water inflow from a catchment area of 56,000 km2 (22,000 sq mi).The lake's Uyghur and Chinese names are sometimes rendered as Bosten Hu, Bagrax-hu, Bagrasch-köl, Baghrasch köl, Bagratsch-kul, Bositeng Lake or Bositeng Hu.
The Kaidu River is the most important tributary to Lake Bosten, accounting for about 83% of its water inflow, other significant tributaries are the Huangshui Ditch (Chinese: 黃水溝), the Qingshui River (清水河), and  Wulasite River (烏拉司特河).An active fishery exists on the lake. Until the early 1970s, two cyprinid species, Schizothorax biddulphi and Aspiorhynchus laticeps, the latter of which is endemic to Bosten Lake and the Yarkand River, were responsible for 80 percent of the annual catch. During the years 1962 to 1965, various carp species (bighead, black, silver, grass, common, and crucian carp) were introduced into the lake. In the 1970s, these species become major targets of the fishing activities. Since 1978, the introduced European perch has been the dominating species in the catches from Bosten Lake.",00021.jpg,00021.jpg,Asia
<Lake_Kizaki>,Lake Kizaki,Japan,36.55,137.83333333333334,Kizaki-lake winter.jpg,"Lake Kizaki, during winter",https://upload.wikimedia.org/wikipedia/commons/e/e6/Kizaki-lake_winter.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Kizaki-lake_winter.jpg/250px-Kizaki-lake_winter.jpg,"Lake Kizaki (木崎湖, Kizaki-ko) is a lake, situated near Ōmachi, Nagano, Japan, and located at the foot of the northern Japanese Alps mountain range. Mesotrophic and subalpine in nature, numerous lakeside attractions surround the lake, with the locale being a popular lakeside resort. Kizaki is also one of the ""Nishina Three Lakes"", which include Lake Aoki and Lake Nakatsuna.",00022.jpg,00022.jpg,Asia
<Arrowrock_Dam>,Arrowrock Dam,United States,43.59555555555556,-115.92222222222223,Arrowrock Dam.jpg,Spillway and dam in May 1993,https://upload.wikimedia.org/wikipedia/commons/d/dd/Arrowrock_Dam.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Arrowrock_Dam.jpg/250px-Arrowrock_Dam.jpg,"Arrowrock Dam is a concrete arch dam on the Boise River, in the U.S. state of Idaho. It opened in 1915 and is located on the border between Boise County and Elmore County, upstream of the Lucky Peak Dam and reservoir. The spillway elevation for Arrowrock is 3,219 feet (981 m) above sea level and its primary purpose is to provide irrigation water for agriculture.",00023.jpg,00023.jpg,North America
<Upper_Saranac_Lake>,Upper Saranac Lake,United States,44.2925,-74.32555555555554,"Upper Saranac Lake, looking south near Eagle Island.jpg",Looking south near Eagle Island,https://upload.wikimedia.org/wikipedia/commons/9/9d/Upper_Saranac_Lake%2C_looking_south_near_Eagle_Island.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Upper_Saranac_Lake%2C_looking_south_near_Eagle_Island.jpg/250px-Upper_Saranac_Lake%2C_looking_south_near_Eagle_Island.jpg,"Upper Saranac Lake is one of three connected lakes, part of the Saranac River, in the towns of Santa Clara and Harrietstown, near the village of Saranac Lake in the Adirondacks in northern New York. Upper Saranac Lake is the sixth largest lake in the Adirondacks.  With Middle Saranac Lake and Lower Saranac Lake, a 17-mile (27 km) paddle with only one carry is possible. There are 20 primitive campsites accessible by boat available on a first-come basis. Upper Saranac Lake is also known as Sin-ha-lo-nen-ne-pus.The 37 miles of shoreline is 54 percent privately owned, and much of it is lined with ""camps"", ranging from true Great Camps to small weekend cottages. The lake, along with both Middle and Lower Saranac Lakes, is also part of the 740-mile Northern Forest Canoe Trail, which begins in Old Forge, NY and ends in Fort Kent, ME.",00024.jpg,00024.jpg,North America
<Ab-i_Istada>,Ab-i Istada,Afghanistan,32.5,67.9,NM22-735-062.jpg,Ab-i Istada in November 1996. The Kabul–Kandahar Highway is visible in the top left corner.,https://upload.wikimedia.org/wikipedia/commons/4/4a/NM22-735-062.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/NM22-735-062.jpg/250px-NM22-735-062.jpg,"Ab-i Istada (""standing water"") is an endorheic salt lake  in Nawa District, Ghazni Province, Afghanistan. It lies in a large depression created by the Chaman Fault system in the southern foothills of the Hindu Kush, 125 kilometres (78 mi) south-southwest of Ghazni.In modern times the lake has been reported to have a surface area of 130 square kilometres (50 sq mi),  although it dries out periodically. It is very shallow, not exceeding 3.7 m (12 ft) in depth. There are two small islands near the lake's southeastern shore, Loya ghundai (2,500 m2 (27,000 sq ft)) and Kuchney ghundai (500 m2 (5,400 sq ft)). The water is highly alkaline and mass die-offs of freshwater fish from the Ghazni River sometimes occur.The main inflows into Ab-i Istada are the Ghazni, Sardeh and Nahara Rivers, which drain into it from the northeast. The watershed draining into the lake covers 17,252 square kilometres (6,661 sq mi) and was home to over 1.8 million people in 2003. Three sets of raised beaches surrounding the lake have been noted at 2–3 m (6 ft 7 in–9 ft 10 in), 6–7 m (20–23 ft) and 9–10 m (30–33 ft) above the normal lake level. At high water levels, the lake is known to overflow into the Lora River, a tributary of the Arghistan River, through two channels on the south side of the lake, Akasi Mandeh and Sekva Mandeh. A groundwater connection between the lake and the Lora drainage has been suggested.Historically the area around the lake was unpopulated, although nomads from Kandahar visited it in the summer. More recently, the Tarakai have settled near the lake: in 2003 there were eight villages within 10 kilometres (6.2 mi) with a total population of approximately 5000. Economic activities around the lake include trapping of saker and peregrine falcons, grazing and collection of fuel wood.The wetlands around Ab-i Istada attract a variety of migratory birds, over 120 species having previously been recorded. Babur observed enormous flocks of greater flamingoes at the lake; their numbers in recent years have varied between 0 and 9000. The wetlands were once a critical stopover for the central migratory population of Siberian cranes, but these have not been sighted at the lake since 1986. In 1974, the Afghani government proclaimed a Waterfowl and Flamingo Sanctuary around the lake, causing considerable resentment among the locals; conservation efforts ended with the Soviet invasion in 1979 and have not been restarted since.",00025.jpg,00025.jpg,Asia
<Lake_Tamblingan>,Lake Tamblingan,Indonesia,-8.257056,115.097003,File:Lake Tamblingan.jpg,"Lake Tamblingan in Buleleng Regency, Bali",https://upload.wikimedia.org/wikipedia/commons/e/e6/Lake_Tamblingan.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Lake_Tamblingan.jpg/250px-Lake_Tamblingan.jpg,"Lake Tamblingan (Balinese: Danu Tamblingan ᬤᬦᬸᬢᬫ᭄ᬩᭂᬮᬶᬗᬦ᭄, Indonesian: Danau Tamblingan) is a caldera lake located in Buleleng Regency, Bali. The lake is located at the foot of Mount Lesung in Munduk administrative village, Banjar subdistrict, Buleleng Regency, Bali, Indonesia. The lake is one of the three lakes that formed inside an ancient caldera, the other lakes to the east of Lake Tamblingan are Lake Buyan and Lake Bratan. Tamblingan lake is a pristine lake surrounded with dense rainforest and archaeological remnants of the 10th-century Tamblingan civilization. The lake and the surrounding settlements is designated as a spiritual tourism area protected from modern development by the government.",00026.jpg,00026.jpg,Asia
<South_Aral_Sea>,South Aral Sea,Kazakhstan,45.0,58.5,File:Aralsea tmo 2014231 lrg.jpg,The Aral Sea in mid-August 2014. The two remaining lakes to the south and west are the remains of the South Aral Sea.,https://upload.wikimedia.org/wikipedia/commons/a/a5/Aralsea_tmo_2014231_lrg.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Aralsea_tmo_2014231_lrg.jpg/250px-Aralsea_tmo_2014231_lrg.jpg,"The South Aral Sea was a lake in the basin of the former Aral Sea which formed in 1987 when that body divided in two, due to diversion of river inflow for agriculture. In 2003, the South Aral Sea itself split into eastern and western basins, the Eastern Sea and the West Aral Sea, connected by a narrow channel (channel bed at an elevation of 29 m (95 ft)) that balanced surface levels but did not allow mixing, and in 2005 the North Aral Sea was dammed to prevent the collapse of its fisheries, cutting off the only remaining inflow to the southern lakes. In 2008, the Eastern Sea split again, and in May 2009 had almost completely dried out, leaving only the small permanent Barsakelmes Lake between the Northern and Western Seas and increasing the expanse of the Aralkum desert. In 2010, it was partially filled again by meltwater, and by 2014 was once again dry. The West Aral Sea has some replenishment from groundwater in the northwest, and so is likely to avoid desiccation.",00027.jpg,00027.jpg,Asia
